Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,69.091,18.79745,662.3840500000001,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.0,0.0,8509.626666666667,0.0,55.15384615384615,0.0,100.77106574958754,0.0,0.0,816.0769230769231,0.0,48.52738927738927
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,548.586,2928.250666666667,774.5222333333334,12.0,1.0,6.5,0.0,222063.0,1.0,0.02968126770673126,5161.6,72157.0,15913.777777777776,8.0,12.833333333333334,156.0,16.004734148104898,0.0,2.7018204439478487e-05,672.0,2207.0,8.0875
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,492.07550000000003,54.83188333333333,2.499883333333334,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6508.4,0.0,16159.3625,0.0,20.923076923076923,0.0,22.13015114597254,0.0,0.0,399.53846153846155,0.0,15.360042735042734
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,3969.2763333333337,22498.58,45324.44211666667,32321.817433333334,26021.45116666667,9.0,4.0,2.0,22321.0,107228.0,4.0,0.0010633338334399111,4107.0,22351.1,46509.2,5.75,7.0,16.5,6.53834841531101,16.842406795546374,0.0058288440360330955,339.0,619.5,2.912829672931975
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,7045.069066666667,188349.31410000002,167608.65600000002,13.0,0.0,0.0,0.0,0.0,0.0,0.0,79063.71428571429,0.0,15795.625,0.0,19.076923076923077,0.0,17.172951301691167,0.0,0.0,1220.6153846153845,0.0,15.76923076923077
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,279.9957666666667,279.9370666666667,1346.9947166666668,304.2397833333334,18521.114266666667,11.0,2.0,4.0,24417.0,222063.0,2.0,0.011208282771524386,3549.6,49701.5,35162.34444444444,4.0,13.090909090909092,11.0,18.694675955761017,2.8284271247461903,0.04673410129601945,767.6363636363636,233.5,7.931818181818182
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7984.217616666667,14.930216666666668,11.977733333333335,10.0,3.0,2.75,13394.0,107228.0,3.0,0.00023490933492816235,14065.0,25749.8,11754.5,1.6666666666666667,22.7,6.0,36.41138405621089,1.0,0.0029144425067201755,309.3,195.66666666666666,20.625
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,0,184.41000000000003,8.967883333333333,1360.7207833333334,520.57195,698.8680500000002,146.56221666666667,1523.6939,553.52155,1614.9738333333335,27.434050000000003,535.2962333333334,16.8735,4607.5354333333335,9.0,4.0,2.0,30582.0,30582.0,4.0,0.056553502323052916,9732.4,27614.25,13197.166666666666,1.25,18.88888888888889,9.75,23.159471304654414,4.5,0.03512257485937799,673.3333333333334,604.75,17.64814814814815
51,7999,2010-07-20 19:21:33.223,2019-08-30 04:41:15.113,53.0,0,265.26,15.109666666666667,8.749500000000001,15.693333333333333,57.00916666666667,8.870166666666668,7.6547833333333335,17.621833333333335,5.364050000000001,22.31345,20.359283333333334,9.890666666666668,10.591050000000001,9.0,4.0,2.0,5775.0,30582.0,4.0,0.008521501701637372,4423.0,6683.555555555556,8559.27777777778,7.0,46.666666666666664,30.5,59.26002024974342,33.04037933599835,0.034754488628466036,1291.6666666666667,509.0,44.57037037037037
56,4301,2010-07-20 19:23:54.217,2019-07-31 21:59:01.333,29.0,0,225.216,6.190616666666667,13.289116666666668,7.3741,86.47623333333334,611.2529333333333,25.83206666666667,3.94705,268.583,1157.5413833333334,11.1059,66.7766,1366.5087333333333,11.0,2.0,4.0,3474.0,24417.0,2.0,0.07101822978776794,5938.0,8227.5,53873.25,3.0,19.272727272727273,17.5,25.49545414026159,13.435028842544403,0.0691447674434809,843.8181818181819,1447.5,16.007974481658692
