Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,69.091,18.79745,662.3840500000001,373.8477833333334,28.50521666666667,1659.1437166666667,15.0,1.0,8.0,13825.0,17526.0,1.0,0.003108173771779232,5064.714285714285,15675.5,8509.626666666667,2.0,50.8,50.0,94.18310433860812,0.0,0.0015832097088783886,884.0666666666667,430.0,44.70888888888888
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,548.586,2928.250666666667,774.5222333333334,967.6833333333333,196.7616,6.683833333333334,15.0,1.0,8.0,0.0,222063.0,1.0,0.02968126770673126,5161.6,72157.0,17600.404761904763,8.0,12.0,156.0,14.33277961278172,0.0,2.7018204439478487e-05,634.7333333333333,2207.0,7.9366666666666665
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,492.07550000000003,54.83188333333333,2.499883333333334,59.65428333333333,829.1537166666668,11.3984,15.0,1.0,8.0,13394.0,13394.0,1.0,0.05500988802737293,5566.5,13394.0,14611.611607142857,1.0,21.733333333333334,3.0,21.01518725203502,0.0,0.05500988802737293,416.1333333333333,1387.0,16.901666666666667
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,1,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,3969.2763333333337,22498.58,45324.44211666667,32321.817433333334,26021.45116666667,220431.16716666668,495905.42495,3675.4646166666666,9.0,7.0,1.25,251314.0,251314.0,7.0,0.0015028308135236889,4107.0,42343.153846153844,61513.5625,4.0,7.0,10.857142857142858,6.53834841531101,13.837492203292854,0.028170146372542584,339.0,743.7142857142857,2.5190305010893246
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,7045.069066666667,188349.31410000002,167608.65600000002,9906.330116666668,33.16595,27304.36305,16.0,0.0,0.0,0.0,0.0,0.0,0.0,128442.55555555556,0.0,13499.5,0.0,17.125,0.0,15.96610994158147,0.0,0.0,1213.625,0.0,14.4375
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,279.9957666666667,279.9370666666667,1346.9947166666668,304.2397833333334,18521.114266666667,3003.6891666666666,54232.7839,174006.0286,12.0,4.0,2.6,24417.0,222063.0,4.0,0.002963384519654631,3549.6,39582.555555555555,40163.79861111111,3.5,12.333333333333334,10.75,18.016827151473166,7.932002689527196,0.02936272375039556,763.0,425.75,7.395833333333333
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7984.217616666667,14.930216666666668,11.977733333333335,1257.8027166666666,6.116783333333333,112.06105000000001,13.0,3.0,3.5,13394.0,107228.0,3.0,0.00023490933492816235,11082.0,25749.8,23018.75,1.6666666666666667,19.846153846153847,6.0,32.20984878844293,1.0,0.0029144425067201755,563.5384615384615,195.66666666666666,17.866178266178267
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,1,184.41000000000003,8.967883333333333,1360.7207833333334,520.57195,698.8680500000002,146.56221666666667,1523.6939,553.52155,1614.9738333333335,27.434050000000003,535.2962333333334,16.8735,4607.5354333333335,1769.2633333333333,8.838400000000002,874.5541000000001,11.0,5.0,2.0,30582.0,30582.0,5.0,0.058552511649022185,9732.4,23452.0,9771.444444444443,1.6,17.636363636363637,9.2,20.94408139438313,4.08656334834051,0.03512257485937799,629.1818181818181,631.4,16.1969696969697
51,7999,2010-07-20 19:21:33.223,2019-08-30 04:41:15.113,53.0,0,265.26,15.109666666666667,8.749500000000001,15.693333333333333,57.00916666666667,8.870166666666668,7.6547833333333335,17.621833333333335,5.364050000000001,22.31345,20.359283333333334,9.890666666666668,10.591050000000001,64.47695,4.320716666666667,7.989050000000001,11.0,5.0,2.0,5775.0,222063.0,5.0,0.010557092863778242,4423.0,25641.3125,8022.444444444445,7.6,39.63636363636363,30.8,55.328605128401215,28.621670111997307,0.05295318937573394,1137.0,565.2,37.121212121212125
56,4301,2010-07-20 19:23:54.217,2019-07-31 21:59:01.333,29.0,0,225.216,6.190616666666667,13.289116666666668,7.3741,86.47623333333334,611.2529333333333,25.83206666666667,3.94705,268.583,1157.5413833333334,11.1059,66.7766,1366.5087333333333,492.38355000000007,3838.0179500000004,3279.41805,13.0,3.0,3.5,3474.0,24417.0,3.0,0.046367493296033256,6453.25,6349.428571428572,53873.25,5.0,18.23076923076923,50.0,24.05255996823708,57.087651904768336,0.04380773940506566,847.5384615384615,1141.3333333333333,15.506747638326585
