Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
3,357,2010-07-20 16:03:31.233,2019-03-12 16:34:41.130,3.0,1,13303.400000000001,1057.9803333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,169.5,0.0,986.5,0.0,138.5,0.0,180.31222920256963,0.0,0.0,397.5,0.0,72.0
5,393,2010-07-20 17:05:37.000,2019-08-28 02:00:26.007,3.0,0,9463.457,44.35443333333333,1.0,1.0,1.0,1310.0,43749.0,1.0,0.30365909205931474,101.0,12591.125,391.6666666666667,10.0,6.0,44.0,0.0,0.0,0.15183171305639864,168.0,174.0,1.2
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,1779.0,0.0,263.5,0.0,133.64318164425748,0.0,0.0,1363.0,0.0,263.5
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3905.5,0.0,6831.0,0.0,7.0,0.0,7.0710678118654755,0.0,0.0,400.5,0.0,7.0
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,0,3672.333,33.021283333333336,2.0,0.0,0.0,0.0,0.0,0.0,0.0,468.5,0.0,1240.25,0.0,8.5,0.0,0.7071067811865476,0.0,0.0,261.5,0.0,8.5
12,518,2010-07-20 19:03:52.720,2018-02-26 06:06:41.457,2.0,1,532699.28,1496.963616666667,1.0,1.0,1.0,35224.0,222063.0,1.0,0.2150845999426441,7999.0,73089.4,0.0,16.0,5.0,73.0,0.0,0.0,0.036189021394586886,266.0,169.0,5.0
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4101.0,0.0,6517.125,0.0,11.0,0.0,9.899494936611665,0.0,0.0,350.5,0.0,10.0
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,210.5,0.0,1196.611111111111,0.0,15.0,0.0,9.899494936611665,0.0,0.0,234.5,0.0,2.833333333333333
24,415,2010-07-20 19:07:58.247,2019-05-13 11:25:16.987,3.0,0,2131.85,13.608666666666668,0.0,2.0,0.0,7999.0,7999.0,2.0,0.1680980684131122,0.0,3009.714285714286,0.0,4.0,0.0,24.5,0.0,24.748737341529164,0.09481483207338712,0.0,144.5,0.0
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,4315.0,0.0,25.5,0.0,19.091883092036785,0.0,0.0,1456.0,0.0,21.5
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,0.0,2.0,0.0,24417.0,222063.0,2.0,0.011208282771524386,0.0,42733.142857142855,0.0,4.0,0.0,11.0,0.0,2.8284271247461903,0.0,0.0,233.5,0.0
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,296.5,0.0,3503.6,0.0,27.5,0.0,17.67766952966369,0.0,0.0,152.0,0.0,27.5
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,0.0,0.0,0.0,12.5,0.0,4.949747468305833,0.0,0.0,701.5,0.0,12.5
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,1.0,1.0,1.0,35224.0,35224.0,1.0,6.882142416439951e-05,0.0,35224.0,0.0,1.0,-2.0,7.0,0.0,0.0,0.0,856.0,435.0,-0.4
34,548,2010-07-20 19:13:36.783,2010-08-12 21:23:22.993,2.0,1,2318.1440000000002,19.3796,0.0,2.0,0.0,1310.0,113609.0,2.0,0.21892377074302727,0.0,11090.6,0.0,9.0,0.0,36.5,0.0,6.363961030678928,0.056762612407648454,0.0,582.5,0.0
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,0,511.6,11.154783333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,1779.0,0.0,11.0,0.0,5.656854249492381,0.0,0.0,1021.5,0.0,1.8125
37,706,2010-07-20 19:14:55.563,2019-08-21 18:20:00.437,5.0,0,1902.4840000000002,8.4541,1.0,1.0,1.0,3874.0,24417.0,1.0,0.2692587307143434,393.0,10868.666666666666,1785.0,6.0,2.0,101.0,0.0,0.0,0.05525284160759984,95.0,135.0,1.3333333333333333
38,1594,2010-07-20 19:15:29.773,2019-08-17 19:54:22.843,7.0,0,151.477,5.883,1.0,1.0,1.0,2920.0,222063.0,1.0,0.2597515043941296,378.0,63288.0,6108.0,13.0,22.0,51.0,0.0,0.0,0.21575861369949956,357.0,217.0,7.333333333333333
40,378,2010-07-20 19:17:04.217,2010-12-24 20:14:30.710,2.0,1,307.973,19.53461666666667,1.0,1.0,1.0,1594.0,18711.0,1.0,0.5880047040376323,218.0,5313.0,614.2222222222222,7.0,29.0,35.0,0.0,0.0,0.2036522184426049,379.0,440.0,29.0
41,203,2010-07-20 19:17:34.247,2018-04-10 17:13:57.193,4.0,0,146.29600000000002,3.1429,0.0,2.0,0.0,7787.0,30582.0,2.0,0.2550353542759865,0.0,3875.6428571428573,0.0,17.0,0.0,158.0,0.0,165.46298679765212,0.08602619968519375,0.0,130.5,0.0
43,348,2010-07-20 19:18:28.160,2019-06-19 15:19:33.313,12.0,0,1829590.7000000002,132.34438333333335,1.0,1.0,1.0,348.0,348.0,1.0,0.05330712991747168,348.0,340.0,348.0,2.0,5.0,4.0,0.0,0.0,0.007556044123771527,464.0,654.0,5.0
44,522,2010-07-20 19:18:39.377,2018-12-03 12:10:26.037,6.0,0,1434.123,48.096333333333334,0.0,2.0,0.0,3747.0,7787.0,2.0,0.1449625513409036,0.0,2734.125,0.0,4.5,0.0,7.5,0.0,4.949747468305833,0.06968582019454503,0.0,1246.5,0.0
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,0,184.41000000000003,8.967883333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,0.0,1175.361111111111,0.0,40.5,0.0,47.37615433949868,0.0,0.0,228.5,0.0,37.7
48,553,2010-07-20 19:19:56.347,2017-09-14 06:35:06.540,4.0,0,234.216,25.648783333333334,1.0,1.0,1.0,3874.0,24417.0,1.0,0.3294947198471144,1594.0,14145.5,1736.5,3.0,22.0,37.0,0.0,0.0,0.009274526446544024,656.0,141.0,11.0
49,259,2010-07-20 19:20:21.523,2018-02-06 09:46:57.453,2.0,1,573.254,47.80021666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,513.75,0.0,9.5,0.0,7.7781745930520225,0.0,0.0,186.0,0.0,4.321428571428571
50,792,2010-07-20 19:20:25.783,2019-05-09 15:51:13.460,10.0,0,2127.59,8.4365,2.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5,0.0,686.8333333333334,0.0,8.5,0.0,9.192388155425117,0.0,0.0,526.0,0.0,4.15
51,7999,2010-07-20 19:21:33.223,2019-08-30 04:41:15.113,53.0,0,265.26,15.109666666666667,1.0,1.0,1.0,3874.0,30582.0,1.0,0.12701450293932728,218.0,10426.75,11937.5,4.0,7.0,14.0,0.0,0.0,0.054334768116431606,2232.0,591.0,3.5
52,383,2010-07-20 19:22:12.393,2019-07-17 08:46:11.943,6.0,0,776.8340000000001,9586.229,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12310.0,0.0,1779.0,0.0,85.5,0.0,113.84419177103415,0.0,0.0,2272.0,0.0,30.166666666666668
54,218,2010-07-20 19:22:49.430,2017-11-27 15:39:52.120,4.0,0,140.133,2.002283333333333,0.0,2.0,0.0,1594.0,286579.0,2.0,0.18386859524393231,0.0,19750.125,0.0,16.5,0.0,25.5,0.0,13.435028842544403,0.04095085883172889,0.0,369.0,0.0
55,630,2010-07-20 19:22:49.943,2017-12-07 09:05:26.133,6.0,0,228.24400000000003,62745.12871666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.5,0.0,4295.833333333333,0.0,6.0,0.0,2.8284271247461903,0.0,0.0,316.5,0.0,1.8333333333333333
56,4301,2010-07-20 19:23:54.217,2019-07-31 21:59:01.333,29.0,0,225.216,6.190616666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4101.0,0.0,6102.875,0.0,5.5,0.0,10.606601717798213,0.0,0.0,554.0,0.0,0.4722222222222222
58,126,2010-07-20 19:25:17.987,2018-07-28 11:50:31.567,2.0,1,12309962.356,26614.717783333334,0.0,2.0,0.0,71134.0,71134.0,2.0,0.00011219909041936481,0.0,35711.5,0.0,2.5,0.0,12.0,0.0,11.313708498984761,0.0,0.0,658.0,0.0
59,2172,2010-07-20 19:26:06.223,2019-07-31 18:53:46.023,9.0,0,785.3340000000001,355.4357166666667,1.0,1.0,1.0,30582.0,30582.0,1.0,0.1351333090093377,1420.0,12064.333333333334,0.0,3.0,27.0,15.0,0.0,0.0,0.0,814.0,354.0,27.0
60,2386,2010-07-20 19:28:29.697,2019-07-16 18:43:52.583,11.0,0,763292.74,11491.939666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15340.0,0.0,1382.5,0.0,5.5,0.0,4.949747468305833,0.0,0.0,712.5,0.0,5.166666666666667
63,332,2010-07-20 19:30:37.553,2018-08-14 13:13:13.263,2.0,1,678.134,5.521050000000001,1.0,1.0,1.0,0.0,6599.0,1.0,0.07947272496079345,415.0,5450.0,1914.5,3.0,9.0,24.0,0.0,0.0,0.03681026761064553,661.0,263.0,9.0
64,208,2010-07-20 19:31:37.863,2017-02-14 15:11:57.447,2.0,1,9337848.4,100906.25833333333,0.0,2.0,0.0,43749.0,43749.0,2.0,0.0006913033588114338,0.0,29154.333333333332,0.0,1.5,0.0,5.5,0.0,0.7071067811865476,0.0,0.0,641.0,0.0
66,164,2010-07-20 19:33:32.023,2017-03-28 18:30:04.617,3.0,0,2549.4300000000003,25.43661666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,1104.75,0.0,2.0,0.0,0.0,0.0,0.0,270.0,0.0,1.3333333333333333
67,547,2010-07-20 19:33:50.337,2019-08-25 17:13:28.447,5.0,0,7809.893000000001,213214.96333333335,1.0,1.0,1.0,2060.0,8618.0,1.0,0.04337055731888997,5775.0,5339.0,1290.0,2.0,28.0,7.0,0.0,0.0,0.0,449.0,861.0,14.0
72,30582,2010-07-20 19:41:06.357,2019-08-05 22:01:53.803,498.0,0,1026.386,12.993783333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4108.5,0.0,11182.125,0.0,12.5,0.0,14.849242404917497,0.0,0.0,1364.0,0.0,11.833333333333334
73,5775,2010-07-20 19:42:51.877,2013-12-01 04:08:32.473,32.0,0,3365.8230000000003,59.68566666666667,0.0,2.0,0.0,5145.0,134579.0,2.0,0.0854463503727597,0.0,35962.90909090909,0.0,6.5,0.0,32.5,0.0,26.16295090390226,0.06590684816704526,0.0,800.0,0.0
76,6599,2010-07-20 19:44:54.913,2016-08-08 23:28:45.420,24.0,0,1450.7540000000001,12.462333333333333,1.0,1.0,1.0,792.0,3874.0,1.0,0.05899008966493628,332.0,2333.0,6599.0,3.0,25.0,14.0,0.0,0.0,0.0,1180.0,430.0,25.0
77,263,2010-07-20 19:46:22.087,2019-08-22 09:57:28.787,2.0,1,12704484.206,265702.5727333334,0.0,2.0,0.0,8618.0,222063.0,1.0,0.005959116290863275,0.0,115340.5,0.0,1.5,0.0,16.0,0.0,19.79898987322333,0.0,0.0,515.0,0.0
79,101,2010-07-20 19:51:42.527,2019-08-20 13:47:27.793,2.0,1,612.486,14.23395,1.0,1.0,1.0,0.0,286579.0,1.0,0.4150812867519889,548.0,29970.70588235294,513.75,22.0,8.0,169.0,0.0,0.0,0.08565879680589499,280.0,413.0,4.0
80,3312,2010-07-20 19:53:23.177,2019-08-31 19:33:16.383,8.0,0,2669.3,1046.4696000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,1104.75,0.0,21.5,0.0,16.263455967290593,0.0,0.0,673.5,0.0,10.75
82,620,2010-07-20 19:56:08.320,2016-04-22 17:24:33.987,7.0,0,1361.27,32.29878333333333,1.0,1.0,1.0,7999.0,7999.0,1.0,0.08763397043229837,101.0,7999.0,391.6666666666667,1.0,33.0,8.0,0.0,0.0,0.0,424.0,190.0,33.0
84,136,2010-07-20 20:03:39.113,2016-12-19 18:03:04.557,2.0,1,384.944,1027.1997166666667,1.0,1.0,1.0,357.0,1310.0,1.0,0.1678730208470313,203.0,566.0,1779.0,3.0,75.0,2.0,0.0,0.0,0.10749844690053491,111.0,210.0,18.75
85,609,2010-07-20 20:07:23.347,2016-03-14 03:12:20.553,5.0,0,14709.603000000001,9180.807383333335,0.0,2.0,0.0,7787.0,7787.0,2.0,0.030402706651630834,0.0,5067.5,0.0,2.5,0.0,15.5,0.0,13.435028842544403,0.0,0.0,1427.5,0.0
86,225,2010-07-20 20:07:32.893,2018-08-23 09:09:42.963,4.0,1,1297.874,802.8347166666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2081.0,0.0,0.0,0.0,4.5,0.0,2.1213203435596424,0.0,0.0,811.0,0.0,1.75
88,449,2010-07-20 20:10:27.490,2019-08-01 06:55:31.900,2.0,1,5454.033,13637.698666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,0.0,0.0,0.0,17.0,0.0,14.142135623730951,0.0,0.0,316.0,0.0,17.0
89,7205,2010-07-20 20:11:38.860,2019-08-27 19:08:34.413,46.0,0,44026.563,21.640333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3747.0,0.0,4484.0,0.0,35.5,0.0,4.949747468305833,0.0,0.0,675.0,0.0,25.75
91,313,2010-07-20 20:13:03.473,2019-07-02 18:48:43.117,9.0,0,87092.25700000001,31885.803950000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,0.0,313.0,0.0,9.0,0.0,9.899494936611665,0.0,0.0,655.0,0.0,9.0
92,781,2010-07-20 20:14:52.470,2019-08-12 14:40:28.930,18.0,0,329.75300000000004,28.290066666666668,1.0,1.0,1.0,62775.0,62775.0,1.0,0.0072245078424440804,203.0,31392.333333333332,1779.0,5.0,40.0,17.0,0.0,0.0,1.703790049362341e-06,1221.0,688.0,8.0
96,2993,2010-07-20 20:25:37.483,2019-08-28 07:28:50.037,60.0,0,534.8000000000001,3.4091166666666672,2.0,0.0,0.0,0.0,0.0,0.0,0.0,468.5,0.0,1959.5,0.0,3.5,0.0,0.7071067811865476,0.0,0.0,433.5,0.0,1.25
97,1341,2010-07-20 20:32:57.387,2017-10-16 05:31:04.980,6.0,0,39601.020000000004,9.838883333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,375.5,0.0,1560.625,0.0,10.0,0.0,8.48528137423857,0.0,0.0,291.0,0.0,4.571428571428571
99,857,2010-07-20 20:44:17.127,2019-06-02 02:12:39.433,28.0,0,5031.263,32.525000000000006,2.0,0.0,0.0,0.0,0.0,0.0,0.0,771.5,0.0,1467.784090909091,0.0,12.5,0.0,3.5355339059327378,0.0,0.0,2206.0,0.0,8.333333333333334
100,3474,2010-07-20 20:48:22.373,2018-10-04 13:01:05.743,27.0,0,43847.964,24.9921,1.0,1.0,1.0,24417.0,69037.0,1.0,0.004700028513506315,3747.0,37025.0,0.0,3.0,1.0,14.0,0.0,0.0,5.0750437843058685e-05,474.0,492.0,1.0
102,158,2010-07-20 20:50:08.783,2018-12-06 05:08:03.733,2.0,1,31912.65,10421.2389,0.0,2.0,0.0,601.0,30582.0,2.0,0.054173284083798845,0.0,6074.9473684210525,0.0,17.0,0.0,55.0,0.0,63.63961030678928,0.005463286922908127,0.0,364.5,0.0
104,1420,2010-07-20 20:55:40.483,2019-08-30 18:19:04.073,12.0,0,653.1270000000001,112.15395,1.0,1.0,1.0,7999.0,7999.0,1.0,0.07999253403015717,1420.0,4241.333333333333,1787.0,9.0,2.0,17.0,0.0,0.0,0.028110278951742288,1643.0,160.0,0.6666666666666666
105,354,2010-07-20 20:58:04.427,2019-01-01 14:28:24.263,6.0,0,623.9060000000001,4012.260166666667,1.0,1.0,1.0,0.0,24417.0,1.0,0.23888488535516209,548.0,11482.666666666666,513.75,3.0,12.0,18.0,0.0,0.0,0.0,445.0,198.0,12.0
106,3747,2010-07-20 21:06:09.213,2017-11-08 01:59:52.013,18.0,0,139.994,11.394666666666668,1.0,1.0,1.0,7999.0,222063.0,1.0,0.3424931215964746,1420.0,70017.0,1787.0,14.0,4.0,114.0,0.0,0.0,0.005835093025882481,313.0,137.0,2.0
108,429,2010-07-20 21:06:54.327,2018-10-28 22:28:28.160,3.0,0,433.5,3576.9128333333338,0.0,2.0,0.0,0.0,62775.0,2.0,0.029799087104966537,0.0,10936.333333333334,0.0,8.5,0.0,30.0,0.0,1.4142135623730951,0.03505465932127399,0.0,637.0,0.0
113,995,2010-07-20 21:35:52.643,2019-05-23 16:08:34.623,5.0,0,162.077,39.021499999999996,1.0,1.0,1.0,1763.0,222063.0,1.0,0.2511794970549204,3747.0,19749.346153846152,0.0,36.0,34.0,463.0,0.0,0.0,0.01103779661434885,1197.0,773.0,34.0
114,664,2010-07-20 21:38:48.073,2018-09-13 08:25:46.620,7.0,0,5508.8240000000005,45.2941,1.0,1.0,1.0,0.0,6068.0,1.0,0.027950918187662457,384.0,4530.5,664.0,3.0,16.0,11.0,0.0,0.0,0.010004497021411122,616.0,2053.0,16.0
115,1075,2010-07-20 21:40:12.880,2013-07-23 19:44:46.113,11.0,0,15514.807,68.83166666666668,2.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,3503.6,0.0,11.5,0.0,9.192388155425117,0.0,0.0,309.5,0.0,5.055555555555555
120,2033,2010-07-20 22:14:22.863,2019-06-18 22:35:39.210,26.0,0,3334.2400000000002,816.3040666666668,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.5,0.0,1290.0,0.0,23.0,0.0,9.899494936611665,0.0,0.0,534.0,0.0,23.0
121,253,2010-07-20 22:16:31.863,2016-04-26 17:48:19.430,32.0,0,9423.094000000001,17.119716666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,0.0,0.0,11.0,0.0,4.242640687119285,0.0,0.0,846.5,0.0,8.333333333333334
122,1763,2010-07-20 22:27:53.053,2019-01-02 08:42:13.383,9.0,0,848.224,4.1341,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2371.0,0.0,3157.409090909091,0.0,196.5,0.0,185.969083452062,0.0,0.0,1632.0,0.0,196.5
123,5838,2010-07-20 23:04:55.970,2019-06-11 16:08:38.860,89.0,0,365.53000000000003,81.81521666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4497.0,0.0,1830.8181818181818,0.0,6.0,0.0,1.4142135623730951,0.0,0.0,1178.5,0.0,3.7777777777777777
124,202,2010-07-20 23:09:59.630,2018-11-05 22:43:04.390,4.0,0,1463.3600000000001,12775.683216666666,0.0,2.0,0.0,62775.0,62775.0,2.0,0.0044594314373565085,0.0,24882.666666666668,0.0,1.5,0.0,5.5,0.0,3.5355339059327378,0.0023040864124568125,0.0,399.0,0.0
128,575,2010-07-20 23:39:37.490,2017-10-21 20:18:29.807,4.0,0,1154.4270000000001,5.788383333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,0.0,0.0,0.0,11.0,0.0,14.142135623730951,0.0,0.0,820.0,0.0,10.7
129,384,2010-07-20 23:42:42.977,2019-02-14 19:02:34.647,8.0,0,394.68300000000005,1261.5463333333332,1.0,1.0,1.0,664.0,664.0,1.0,0.15117805499353712,1420.0,588.5,0.0,2.0,2.0,14.0,0.0,0.0,0.15117805499353712,230.0,271.0,0.6666666666666666
130,2582,2010-07-20 23:49:24.087,2019-08-31 02:39:42.973,30.0,0,789.1930000000001,118920.94671666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,0.0,0.0,0.0,15.5,0.0,20.506096654409877,0.0,0.0,517.5,0.0,15.5
135,220,2010-07-20 23:58:29.483,2019-01-30 06:40:23.880,3.0,0,838.99,74.9869,1.0,1.0,1.0,20011.0,20011.0,1.0,0.036211416735468356,218.0,6744.0,614.2222222222222,3.0,12.0,13.0,0.0,0.0,0.0,346.0,246.0,4.8
136,6068,2010-07-21 00:23:43.783,2019-08-29 05:28:58.897,42.0,0,1610.4170000000001,11.865666666666668,2.0,0.0,0.0,0.0,0.0,0.0,0.0,829.5,0.0,3949.409090909091,0.0,15.5,0.0,2.1213203435596424,0.0,0.0,495.5,0.0,9.9
137,431,2010-07-21 01:00:20.560,2019-08-09 03:06:17.140,6.0,0,1687546.6030000001,17939.739116666668,0.0,2.0,0.0,14491.0,14491.0,2.0,0.059777895230271924,0.0,6899.4,0.0,3.0,0.0,4.5,0.0,0.7071067811865476,0.0,0.0,1049.0,0.0
139,17838,2010-07-21 01:34:19.790,2014-02-26 05:52:00.410,135.0,0,21104.933,9695.942116666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,0.0,0.0,0.0,3.5,0.0,3.5355339059327378,0.0,0.0,288.5,0.0,2.0
143,424,2010-07-21 02:34:00.037,2018-04-18 18:50:07.770,3.0,0,103871.31000000001,1503.4117166666667,1.0,1.0,1.0,4301.0,7205.0,1.0,0.0639023231689588,296.0,5084.333333333333,893.0,3.0,27.0,12.0,0.0,0.0,0.0,1096.0,156.0,27.0
144,263,2010-07-21 02:52:08.043,2017-06-14 10:26:10.453,7.0,0,50327.87,11102.127166666667,1.0,1.0,1.0,3781.0,30582.0,1.0,0.10520889225557345,1763.0,17181.5,0.0,2.0,3.0,1.0,0.0,0.0,0.016756434610527397,268.0,638.0,0.75
